path	colname
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Transfer
..\results\balanced_length\melted_results_sentiment_balanced_length.xlsx	Group Difference
..\results\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Group
..\results\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Language
..\results\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Cross-Language-Accuracy
..\results\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Within-Language-Accuracy
..\results\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Mean-Accuracy-Over-Language
..\results\balanced_length\results_pos_balanced_length.xlsx	Language
..\results\balanced_length\results_pos_balanced_length.xlsx	Arabic
..\results\balanced_length\results_pos_balanced_length.xlsx	Bulgarian
..\results\balanced_length\results_pos_balanced_length.xlsx	English
..\results\balanced_length\results_pos_balanced_length.xlsx	Basque
..\results\balanced_length\results_pos_balanced_length.xlsx	Finnish
..\results\balanced_length\results_pos_balanced_length.xlsx	Hebrew
..\results\balanced_length\results_pos_balanced_length.xlsx	Croatian
..\results\balanced_length\results_pos_balanced_length.xlsx	Japanese
..\results\balanced_length\results_pos_balanced_length.xlsx	Korean
..\results\balanced_length\results_pos_balanced_length.xlsx	Russian
..\results\balanced_length\results_pos_balanced_length.xlsx	Slovak
..\results\balanced_length\results_pos_balanced_length.xlsx	Turkish
..\results\balanced_length\results_pos_balanced_length.xlsx	Vietnamese
..\results\balanced_length\results_pos_balanced_length.xlsx	Chinese
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Group
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Test\Train
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Bulgarian
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	English
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Russian
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Slovak
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Croatian
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Chinese
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Vietnamese
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Thai
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Finnish
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Basque
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Japanese
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Korean
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Turkish
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Arabic
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Hebrew
..\results\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Baseline
